component_number	matrix_partition
231	Borowiec2015_Total1080OG353.fasta.aln_gene407,Whelan2015_D1Gene_0415,Whelan2015_D10Gene_0415,Moroz2014_3d415,Whelan2015_D20Gene_0415,
232	Whelan2015_D20Gene_0639,Whelan2017_fullSubset33_01,Whelan2015_D1Gene_0639,Borowiec2015_Total1080OG357.fasta.aln_gene411,Whelan2015_D10Gene_0639,
233	Borowiec2015_Total1080OG647.fasta.aln_gene712,Borowiec2015_Total1080OG383.fasta.aln_gene438,Ryan2013_estgene222,Simion2017V2META12900-42-Calc_Hmm10-BMGE05,Simion2017V2META15885-42-Calc_Hmm10-BMGE05,
234	Whelan2017_fullSubset13_02,Borowiec2015_Total1080OG395.fasta.aln_gene451,Moroz2014_3d205,Whelan2015_D1Gene_0205,Simion2017V2META12748-42-Calc_Hmm10-BMGE05,
235	Whelan2015_D10Gene_0037,Whelan2015_D20Gene_0037,Borowiec2015_Total1080OG403.fasta.aln_gene461,Simion2017V2META12952-42-Calc_Hmm10-BMGE05,Whelan2015_D1Gene_0037,
236	Ryan2013_estgene1,Ryan2013_estgene299,Hejnol2009Tribe2219_0,Simion2017V2META15344-42-Calc_Hmm10-BMGE05,Borowiec2015_Total1080OG415.fasta.aln_gene474,
237	Nosenko2013_ribo_14615KOG2646,Philippe2009Gene_0113,Chang2015rps5,Borowiec2015_Total1080OG428.fasta.aln_gene488,Nosenko2013_ribo_11057KOG2646,
238	Borowiec2015_Total1080OG494.fasta.aln_gene558,Whelan2017_fullSubset7_01,Ryan2013_estgene114,Simion2017V2META13582-42-Calc_Hmm10-BMGE05,Hejnol2009Tribe1796_0,
239	Simion2017V2META10224-1-2-2-42-Calc_Hmm10-BMGE05,Simion2017V2META13787-42-Calc_Hmm10-BMGE05,Simion2017V2META13035-42-Calc_Hmm10-BMGE05,Nosenko2013_nonribo_9187KOG0084,Borowiec2015_Total1080OG497.fasta.aln_gene561,
240	Simion2017V2META15687-42-Calc_Hmm10-BMGE05,Borowiec2015_Total1080OG53.fasta.aln_gene603,Whelan2015_D20Gene_0384,Whelan2015_D10Gene_0384,Whelan2015_D1Gene_0384,
241	Borowiec2015_Total1080OG533.fasta.aln_gene596,Hejnol2009Tribe1313_0,Chang2015if2b,Philippe2009Gene_0023,Nosenko2013_ribo_14615KOG2768,
242	Simion2017V2META13228-42-Calc_Hmm10-BMGE05,Ryan2013_estgene243,Whelan2017_fullSubset4_03,Borowiec2015_Total1080OG626.fasta.aln_gene690,Moroz2014_3d74,
243	Simion2017V2META12743-42-Calc_Hmm10-BMGE05,Borowiec2015_Total1080OG635.fasta.aln_gene700,Whelan2017_fullSubset10_17,Whelan2017_strictSubset12_01,Hejnol2009Tribe2330_0,
244	Nosenko2013_ribo_14615KOG1768,Chang2015rps26,Borowiec2015_Total1080OG663.fasta.aln_gene730,Nosenko2013_ribo_11057KOG1768,Philippe2009Gene_0106,
245	Whelan2015_D10Gene_0958,Borowiec2015_Total1080OG669.fasta.aln_gene736,Whelan2017_fullSubset21_09,Whelan2015_D1Gene_0958,Whelan2015_D20Gene_0958,
246	Borowiec2015_Total1080OG676.fasta.aln_gene744,Moroz2014_3d911,Whelan2015_D1Gene_0911,Simion2017V2META12167-42-Calc_Hmm10-BMGE05,Whelan2015_D10Gene_0911,
247	Borowiec2015_Total1080OG704.fasta.aln_gene775,Whelan2015_D10Gene_0822,Whelan2015_D20Gene_0822,Whelan2015_D1Gene_0822,Simion2017V2META14268-1-42-Calc_Hmm10-BMGE05,
248	Whelan2015_D20Gene_0964,Whelan2015_D10Gene_0964,Whelan2017_fullSubset18_05,Borowiec2015_Total1080OG834.fasta.aln_gene914,Whelan2015_D1Gene_0964,
249	Simion2017V2META14033-42-Calc_Hmm10-BMGE05,Borowiec2015_Total1080OG859.fasta.aln_gene939,Whelan2017_fullSubset22_01,Hejnol2009Tribe3923_0,Moroz2014_3d207,
250	Whelan2015_D1Gene_0073,Borowiec2015_Total1080OG908.fasta.aln_gene994,Hejnol2009Tribe3194_0,Whelan2015_D10Gene_0073,Whelan2015_D20Gene_0073,
251	Whelan2017_fullSubset23_02,Simion2017V2META15223-42-Calc_Hmm10-BMGE05,Borowiec2015_Total1080OG927.fasta.aln_gene1011,Ryan2013_estgene379,Hejnol2009Tribe2088_0,
252	Hejnol2009Tribe1393_0,Simion2017V2META15705-42-Calc_Hmm10-BMGE05,Ryan2013_estgene278,Borowiec2015_Total1080OG973.fasta.aln_gene1057,Dunn2008Tribe1165,
253	Ryan2013_estgene18,Nosenko2013_ribo_14615KOG0052,Simion2017V2META10197-2-1-2-42-Calc_Hmm10-BMGE05,Chang2015ef1,Nosenko2013_ribo_11057KOG0052,
254	Chang2015nsf1,Simion2017V2META10203-2-2-1-42-Calc_Hmm10-BMGE05,Philippe2009Gene_0033,Whelan2015_D1Gene_0891,Whelan2015_D10Gene_0891,
255	Dunn2008Tribe226,Chang2015rla2,Nosenko2013_ribo_14615KOG1762,Nosenko2013_ribo_11057KOG1762,Ryan2013_estgene251,
256	Nosenko2013_ribo_11057KOG1678,Chang2015rpl15a,Philippe2009Gene_0056,Simion2017V2META12945-42-Calc_Hmm10-BMGE05,Nosenko2013_ribo_14615KOG1678,
257	Nosenko2013_ribo_11057KOG3353_01,Chang2015rpl22,Philippe2009Gene_0064,Nosenko2013_ribo_14615KOG3353_01,Dunn2008Tribe233,
258	Nosenko2013_ribo_11057KOG1751,Chang2015rpl23a,Philippe2009Gene_0065,Dunn2008Tribe235,Nosenko2013_ribo_14615KOG0901,
259	Philippe2009Gene_0068,Chang2015rpl25,Ryan2013_estgene167,Nosenko2013_ribo_11057KOG0901,Nosenko2013_ribo_14615KOG1751,
260	Chang2015rpl26,Nosenko2013_ribo_14615KOG3401,Nosenko2013_ribo_11057KOG3401,Dunn2008Tribe279,Philippe2009Gene_0069,
261	Nosenko2013_ribo_11057KOG0746,Dunn2008Tribe156,Chang2015rpl3,Nosenko2013_ribo_14615KOG0746,Philippe2009Gene_0071,
262	Nosenko2013_ribo_14615KOG0893,Simion2017V2META13596-42-Calc_Hmm10-BMGE05,Philippe2009Gene_0073,Nosenko2013_ribo_11057KOG0893,Chang2015rpl31,
263	Nosenko2013_ribo_11057KOG0878,Ryan2013_estgene274,Nosenko2013_ribo_14615KOG0878,Chang2015rpl32,Philippe2009Gene_0074,
264	Nosenko2013_ribo_11057KOG1790,Dunn2008Tribe356,Nosenko2013_ribo_14615KOG1790,Philippe2009Gene_0076,Chang2015rpl34,
265	Ryan2013_estgene311,Nosenko2013_ribo_14615KOG3464,Philippe2009Gene_0082,Chang2015rpl42,Nosenko2013_ribo_11057KOG3464,
266	Nosenko2013_ribo_11057KOG0815,Nosenko2013_ribo_14615KOG0815,Chang2015rpp0,Philippe2009Gene_0089,Simion2017V2META12274-42-Calc_Hmm10-BMGE05,
267	Nosenko2013_ribo_14615KOG1628,Nosenko2013_ribo_11057KOG1628,Simion2017V2META12799-42-Calc_Hmm10-BMGE05,Philippe2009Gene_0090,Chang2015rps1,
268	Nosenko2013_ribo_14615KOG0400,Philippe2009Gene_0093,Chang2015rps13a,Nosenko2013_ribo_11057KOG0400,Dunn2008Tribe272,
269	Nosenko2013_ribo_11057KOG3311,Nosenko2013_ribo_14615KOG3311,Dunn2008Tribe211,Philippe2009Gene_0098,Chang2015rps18,
270	Nosenko2013_ribo_11057KOG3411,Philippe2009Gene_0099,Dunn2008Tribe260,Chang2015rps19,Nosenko2013_ribo_14615KOG3411,
271	Nosenko2013_ribo_14615KOG0900,Chang2015rps20,Philippe2009Gene_0101,Dunn2008Tribe236,Nosenko2013_ribo_11057KOG0900,
272	Nosenko2013_ribo_11057KOG1767,Philippe2009Gene_0105,Dunn2008Tribe288,Nosenko2013_ribo_14615KOG1767,Chang2015rps25,
273	Dunn2008Tribe287,Philippe2009Gene_0107,Nosenko2013_ribo_14615KOG1779,Nosenko2013_ribo_11057KOG1779,Chang2015rps27,
274	Dunn2008Tribe355,Philippe2009Gene_0110,Nosenko2013_ribo_11057KOG3506,Nosenko2013_ribo_14615KOG3506,Chang2015rps29,
275	Nosenko2013_ribo_11057KOG3283,Philippe2009Gene_0116,Nosenko2013_ribo_14615KOG3283,Dunn2008Tribe186,Chang2015rps8,
276	Hejnol2009Tribe1318_1,Whelan2017_fullSubset2_13,Simion2017V2META12337-42-Calc_Hmm10-BMGE05,Chang2015sra,Moroz2014_3d486,
277	Simion2017V2META11079-1-42-Calc_Hmm10-BMGE05,Chang2015tribe572,Hejnol2009Tribe745_0,Ryan2013_estgene35,Dunn2008Tribe572,
278	Chang2015tribe629_01,Dunn2008Tribe629,Hejnol2009Tribe742_0,Simion2017V2META13784-42-Calc_Hmm10-BMGE05,Ryan2013_estgene207,
279	Simion2017V2META13829-42-Calc_Hmm10-BMGE05,Ryan2013_estgene282,Dunn2008Tribe942,Chang2015tribe942,Hejnol2009Tribe1471_0,
280	Whelan2015_D1Gene_0848,Hejnol2009Tribe1465_0,Simion2017V2META12583-42-Calc_Hmm10-BMGE05,Chang2015vatpased,Whelan2015_D10Gene_0848,
281	Whelan2017_fullSubset6_01,Simion2017V2META14378-42-Calc_Hmm10-BMGE05,Dunn2008Tribe1181,Hejnol2009Tribe1555_0,Ryan2013_estgene283,
282	Whelan2015_D10Gene_0912,Whelan2015_D20Gene_0912,Whelan2015_D1Gene_0912,Hejnol2009Tribe781_0,Dunn2008Tribe507,
283	Whelan2015_D20Gene_0156,Whelan2015_D10Gene_0156,Whelan2015_D1Gene_0156,Simion2017V2META12516-42-Calc_Hmm10-BMGE05,Dunn2008Tribe766,
284	Ryan2013_estgene92,Whelan2017_fullSubset15_01,Moroz2014_3d139,Simion2017V2META14923-42-Calc_Hmm10-BMGE05,Hejnol2009Tribe1526_0,
285	Whelan2015_D1Gene_0628,Hejnol2009Tribe1552_0,Simion2017V2META14167-42-Calc_Hmm10-BMGE05,Whelan2015_D10Gene_0628,Ryan2013_estgene191,
286	Ryan2013_estgene298,Whelan2015_D10Gene_0158,Hejnol2009Tribe1680_0,Whelan2015_D20Gene_0158,Whelan2015_D1Gene_0158,
287	Whelan2015_D1Gene_0947,Ryan2013_estgene197,Hejnol2009Tribe1983_0,Whelan2015_D20Gene_0947,Whelan2015_D10Gene_0947,
288	Hejnol2009Tribe2045_0,Whelan2015_D20Gene_0787,Whelan2017_fullSubset21_08,Whelan2015_D1Gene_0787,Whelan2015_D10Gene_0787,
289	Whelan2015_D10Gene_0651,Whelan2015_D20Gene_0651,Hejnol2009Tribe2676_0,Whelan2015_D1Gene_0651,Ryan2013_estgene276,
290	Hejnol2009Tribe2741_0,Ryan2013_estgene225,Whelan2015_D10Gene_0412,Whelan2015_D20Gene_0412,Whelan2015_D1Gene_0412,
291	Ryan2013_estgene286,Whelan2017_strictSubset11,Ryan2013_estgene313,Simion2017V2META12753-42-Calc_Hmm10-BMGE05,Hejnol2009Tribe2805_0,
292	Simion2017V2META13013-42-Calc_Hmm10-BMGE05,Whelan2015_D1Gene_0380,Whelan2015_D10Gene_0380,Whelan2015_D20Gene_0380,Hejnol2009Tribe2867_0,
293	Whelan2017_fullSubset14_01,Whelan2015_D20Gene_0120,Whelan2015_D10Gene_0120,Hejnol2009Tribe3150_0,Whelan2015_D1Gene_0120,
294	Whelan2015_D1Gene_0945,Hejnol2009Tribe3507_0,Whelan2017_fullSubset28_02,Whelan2015_D10Gene_0945,Whelan2015_D20Gene_0945,
295	Whelan2017_fullSubset5_05,Whelan2015_D10Gene_0253,Whelan2015_D20Gene_0253,Whelan2015_D1Gene_0253,Moroz2014_3d253,
296	Moroz2014_3d695,Whelan2017_fullSubset10_12,Whelan2015_D20Gene_0695,Whelan2015_D1Gene_0695,Whelan2015_D10Gene_0695,
297	Whelan2015_D10Gene_0917,Whelan2015_D20Gene_0917,Whelan2015_D1Gene_0917,Moroz2014_3d917,Ryan2013_estgene188,
298	Simion2017V2META13416-42-Calc_Hmm10-BMGE05,Whelan2015_D1Gene_0835,Whelan2015_D20Gene_0835,Whelan2015_D10Gene_0835,Ryan2013_estgene163,
299	Whelan2015_D20Gene_0930,Whelan2015_D10Gene_0930,Simion2017V2META12629-42-Calc_Hmm10-BMGE05,Ryan2013_estgene253,Whelan2015_D1Gene_0930,
300	Whelan2015_D1Gene_0311,Simion2017V2META13948-42-Calc_Hmm10-BMGE05,Whelan2015_D20Gene_0311,Whelan2015_D10Gene_0311,Ryan2013_estgene338,
301	Simion2017V2META13990-42-Calc_Hmm10-BMGE05,Ryan2013_estgene392,Whelan2015_D1Gene_0942,Whelan2015_D20Gene_0942,Whelan2015_D10Gene_0942,
302	Whelan2017_fullSubset4_01,Simion2017V2META12298-42-Calc_Hmm10-BMGE05,Whelan2015_D10Gene_0030,Whelan2017_strictSubset3,Whelan2015_D1Gene_0030,
303	Whelan2015_D20Gene_0664,Whelan2017_fullSubset12_05,Simion2017V2META12790-42-Calc_Hmm10-BMGE05,Whelan2015_D1Gene_0664,Whelan2015_D10Gene_0664,
304	Whelan2015_D10Gene_0925,Whelan2017_fullSubset18_04,Whelan2015_D1Gene_0925,Simion2017V2META15245-42-Calc_Hmm10-BMGE05,Whelan2015_D20Gene_0925,
305	Simion2017V2META15605-42-Calc_Hmm10-BMGE05,Whelan2015_D20Gene_0873,Whelan2017_strictSubset31_01,Whelan2015_D1Gene_0873,Whelan2015_D10Gene_0873,
306	Borowiec2015_Best108OG1148.fasta.aln_gene10,Borowiec2015_Total1080OG1148.fasta.aln_gene140,Ryan2013_estgene194,Simion2017V2META13460-42-Calc_Hmm10-BMGE05,
307	Nosenko2013_ribo_14615KOG2573,Borowiec2015_Best108OG1155.fasta.aln_gene11,Simion2017V2META11095-2-42-Calc_Hmm10-BMGE05,Borowiec2015_Total1080OG1155.fasta.aln_gene148,
308	Borowiec2015_Best108OG248.fasta.aln_gene26,Borowiec2015_Total1080OG248.fasta.aln_gene294,Simion2017V2META14949-42-Calc_Hmm10-BMGE05,Hejnol2009Tribe3166_0,
309	Ryan2013_estgene59,Borowiec2015_Total1080OG263.fasta.aln_gene311,Simion2017V2META14499-42-Calc_Hmm10-BMGE05,Borowiec2015_Best108OG263.fasta.aln_gene29,
310	Borowiec2015_Best108OG268.fasta.aln_gene30,Simion2017V2META14648-42-Calc_Hmm10-BMGE05,Hejnol2009Tribe2993_0,Borowiec2015_Total1080OG268.fasta.aln_gene316,
311	Borowiec2015_Total1080OG295.fasta.aln_gene345,Simion2017V2META12315-42-Calc_Hmm10-BMGE05,Borowiec2015_Best108OG295.fasta.aln_gene34,Whelan2015_D1Gene_0410,
312	Simion2017V2META14364-42-Calc_Hmm10-BMGE05,Hejnol2009Tribe3448_0,Borowiec2015_Best108OG302.fasta.aln_gene37,Borowiec2015_Total1080OG302.fasta.aln_gene353,
313	Borowiec2015_Total1080OG474.fasta.aln_gene536,Borowiec2015_Best108OG474.fasta.aln_gene58,Hejnol2009Tribe2284_0,Ryan2013_estgene145,
314	Borowiec2015_Total1080OG5.fasta.aln_gene666,Chang2015cct,Borowiec2015_Best108OG5.fasta.aln_gene77,Philippe2009Gene_0006,
315	Borowiec2015_Best108OG538.fasta.aln_gene66,Borowiec2015_Total1080OG538.fasta.aln_gene601,Hejnol2009Tribe5175_0,Simion2017V2META13272-42-Calc_Hmm10-BMGE05,
316	Borowiec2015_Total1080OG780.fasta.aln_gene856,Simion2017V2META15779-42-Calc_Hmm10-BMGE05,Hejnol2009Tribe3737_0,Borowiec2015_Best108OG780.fasta.aln_gene93,
317	Borowiec2015_Total1080OG828.fasta.aln_gene908,Borowiec2015_Best108OG828.fasta.aln_gene97,Simion2017V2META14570-42-Calc_Hmm10-BMGE05,Chang2015mra1,
318	Hejnol2009Tribe1348_0,Borowiec2015_Total1080OG835.fasta.aln_gene915,Ryan2013_estgene127,Borowiec2015_Best108OG835.fasta.aln_gene98,
319	Borowiec2015_Best108OG920.fasta.aln_gene106,Hejnol2009Tribe4286_0,Simion2017V2META15367-42-Calc_Hmm10-BMGE05,Borowiec2015_Total1080OG920.fasta.aln_gene1006,
320	Borowiec2015_Total1080OG1033.fasta.aln_gene31,Whelan2015_D1Gene_0411,Whelan2015_D20Gene_0411,Whelan2015_D10Gene_0411,
321	Borowiec2015_Total1080OG1103.fasta.aln_gene96,Whelan2015_D10Gene_0366,Whelan2015_D1Gene_0366,Borowiec2015_Total1080OG1102.fasta.aln_gene95,
322	Ryan2013_estgene70,Borowiec2015_Total1080OG1156.fasta.aln_gene149,Whelan2017_strictSubset29_01,Whelan2017_fullSubset24_04,
323	Borowiec2015_Total1080OG1157.fasta.aln_gene150,Ryan2013_estgene388,Ryan2013_estgene267,Simion2017V2META13812-42-Calc_Hmm10-BMGE05,
324	Ryan2013_estgene376,Borowiec2015_Total1080OG1158.fasta.aln_gene151,Hejnol2009Tribe732_0,Simion2017V2META13384-42-Calc_Hmm10-BMGE05,
325	Ryan2013_estgene42,Simion2017V2META13789-42-Calc_Hmm10-BMGE05,Borowiec2015_Total1080OG133.fasta.aln_gene173,Simion2017V2META14590-42-Calc_Hmm10-BMGE05,
326	Borowiec2015_Total1080OG156.fasta.aln_gene196,Whelan2015_D10Gene_0314,Whelan2015_D20Gene_0314,Whelan2015_D1Gene_0314,
327	Whelan2015_D20Gene_0766,Whelan2015_D10Gene_0766,Borowiec2015_Total1080OG16.fasta.aln_gene209,Whelan2015_D1Gene_0766,
328	Ryan2013_estgene211,Simion2017V2META15292-42-Calc_Hmm10-BMGE05,Borowiec2015_Total1080OG170.fasta.aln_gene210,Hejnol2009Tribe1622_0,
329	Dunn2008Tribe1047,Simion2017V2META13950-42-Calc_Hmm10-BMGE05,Borowiec2015_Total1080OG173.fasta.aln_gene213,Hejnol2009Tribe1340_0,
330	Simion2017V2META10950-2-42-Calc_Hmm10-BMGE05,Whelan2015_D1Gene_0886,Borowiec2015_Total1080OG220.fasta.aln_gene264,Simion2017V2META13054-42-Calc_Hmm10-BMGE05,
331	Ryan2013_estgene290,Hejnol2009Tribe523_0,Borowiec2015_Total1080OG227.fasta.aln_gene271,Dunn2008Tribe351,
332	Borowiec2015_Total1080OG235.fasta.aln_gene280,Hejnol2009Tribe2799_0,Ryan2013_estgene131,Simion2017V2META13063-42-Calc_Hmm10-BMGE05,
333	Borowiec2015_Total1080OG240.fasta.aln_gene286,Ryan2013_estgene227,Simion2017V2META14180-42-Calc_Hmm10-BMGE05,Hejnol2009Tribe2122_0,
334	Moroz2014_3d82,Simion2017V2META12715-42-Calc_Hmm10-BMGE05,Whelan2017_fullSubset12_01,Borowiec2015_Total1080OG246.fasta.aln_gene292,
335	Whelan2017_fullSubset22_03,Simion2017V2META12909-42-Calc_Hmm10-BMGE05,Borowiec2015_Total1080OG260.fasta.aln_gene308,Whelan2017_strictSubset25,
336	Borowiec2015_Total1080OG279.fasta.aln_gene327,Whelan2015_D1Gene_0973,Whelan2017_fullSubset26_08,Simion2017V2META12812-42-Calc_Hmm10-BMGE05,
337	Borowiec2015_Total1080OG959.fasta.aln_gene1044,Hejnol2009Tribe2200_0,Borowiec2015_Total1080OG282.fasta.aln_gene331,Simion2017V2META13411-42-Calc_Hmm10-BMGE05,
338	Hejnol2009Tribe3571_0,Hejnol2009Tribe1785_0,Whelan2017_strictSubset22_01,Borowiec2015_Total1080OG301.fasta.aln_gene352,
339	Borowiec2015_Total1080OG306.fasta.aln_gene357,Simion2017V2META14185-42-Calc_Hmm10-BMGE05,Ryan2013_estgene295,Hejnol2009Tribe1437_0,
340	Ryan2013_estgene362,Hejnol2009Tribe2504_0,Borowiec2015_Total1080OG309.fasta.aln_gene360,Simion2017V2META14210-42-Calc_Hmm10-BMGE05,
341	Borowiec2015_Total1080OG329.fasta.aln_gene381,Ryan2013_estgene333,Hejnol2009Tribe2144_0,Simion2017V2META14140-42-Calc_Hmm10-BMGE05,
342	Whelan2017_strictSubset23_01,Hejnol2009Tribe1702_0,Ryan2013_estgene386,Borowiec2015_Total1080OG330.fasta.aln_gene382,
343	Whelan2017_strictSubset12,Borowiec2015_Total1080OG339.fasta.aln_gene391,Whelan2017_fullSubset17_01,Simion2017V2META14054-42-Calc_Hmm10-BMGE05,
344	Whelan2015_D10Gene_0548,Simion2017V2META12981-42-Calc_Hmm10-BMGE05,Borowiec2015_Total1080OG350.fasta.aln_gene404,Whelan2015_D1Gene_0548,
345	Ryan2013_estgene344,Borowiec2015_Total1080OG354.fasta.aln_gene408,Hejnol2009Tribe2557_0,Simion2017V2META13923-42-Calc_Hmm10-BMGE05,
346	Borowiec2015_Total1080OG356.fasta.aln_gene410,Hejnol2009Tribe1990_0,Simion2017V2META15707-42-Calc_Hmm10-BMGE05,Ryan2013_estgene321,
347	Borowiec2015_Total1080OG361.fasta.aln_gene416,Moroz2014_3d960,Whelan2017_fullSubset4_18,Whelan2015_D1Gene_0960,
348	Borowiec2015_Total1080OG381.fasta.aln_gene436,Whelan2015_D10Gene_0681,Whelan2015_D20Gene_0681,Whelan2015_D1Gene_0681,
349	Simion2017V2META14101-42-Calc_Hmm10-BMGE05,Hejnol2009Tribe804_0,Borowiec2015_Total1080OG398.fasta.aln_gene454,Dunn2008Tribe586,
350	Borowiec2015_Total1080OG417.fasta.aln_gene476,Ryan2013_estgene5,Simion2017V2META14202-42-Calc_Hmm10-BMGE05,Hejnol2009Tribe1803_0,
351	Hejnol2009Tribe1600_0,Simion2017V2META12723-42-Calc_Hmm10-BMGE05,Borowiec2015_Total1080OG421.fasta.aln_gene481,Ryan2013_estgene83,
352	Ryan2013_estgene29,Hejnol2009Tribe1907_0,Borowiec2015_Total1080OG426.fasta.aln_gene486,Simion2017V2META13672-42-Calc_Hmm10-BMGE05,
353	Hejnol2009Tribe2571_0,Simion2017V2META15131-42-Calc_Hmm10-BMGE05,Borowiec2015_Total1080OG441.fasta.aln_gene502,Ryan2013_estgene149,
354	Borowiec2015_Total1080OG443.fasta.aln_gene504,Simion2017V2META13212-42-Calc_Hmm10-BMGE05,Hejnol2009Tribe1212_0,Dunn2008Tribe1009,
355	Simion2017V2META14371-42-Calc_Hmm10-BMGE05,Borowiec2015_Total1080OG452.fasta.aln_gene514,Hejnol2009Tribe1547_0,Ryan2013_estgene354,
356	Simion2017V2META12964-42-Calc_Hmm10-BMGE05,Dunn2008Tribe1015,Borowiec2015_Total1080OG454.fasta.aln_gene516,Hejnol2009Tribe1307_0,
357	Whelan2017_strictSubset2_01,Hejnol2009Tribe3581_0,Borowiec2015_Total1080OG481.fasta.aln_gene544,Simion2017V2META13833-42-Calc_Hmm10-BMGE05,
358	Ryan2013_estgene300,Simion2017V2META13577-42-Calc_Hmm10-BMGE05,Hejnol2009Tribe2251_0,Borowiec2015_Total1080OG489.fasta.aln_gene552,
359	Simion2017V2META14349-42-Calc_Hmm10-BMGE05,Borowiec2015_Total1080OG492.fasta.aln_gene556,Ryan2013_estgene310,Hejnol2009Tribe3024_0,
360	Hejnol2009Tribe1660_0,Borowiec2015_Total1080OG530.fasta.aln_gene593,Dunn2008Tribe1013,Simion2017V2META15149-42-Calc_Hmm10-BMGE05,
361	Dunn2008Tribe435,Ryan2013_estgene168,Borowiec2015_Total1080OG534.fasta.aln_gene597,Hejnol2009Tribe594_0,
362	Simion2017V2META13957-42-Calc_Hmm10-BMGE05,Hejnol2009Tribe2166_0,Ryan2013_estgene32,Borowiec2015_Total1080OG55.fasta.aln_gene622,
363	Hejnol2009Tribe2022_0,Ryan2013_estgene273,Simion2017V2META14175-42-Calc_Hmm10-BMGE05,Borowiec2015_Total1080OG555.fasta.aln_gene617,
364	Borowiec2015_Total1080OG565.fasta.aln_gene627,Hejnol2009Tribe1619_0,Simion2017V2META14986-42-Calc_Hmm10-BMGE05,Dunn2008Tribe1204,
365	Simion2017V2META16387-42-Calc_Hmm10-BMGE05,Whelan2017_fullSubset17_03,Hejnol2009Tribe3904_0,Borowiec2015_Total1080OG575.fasta.aln_gene638,
366	Simion2017V2META13799-42-Calc_Hmm10-BMGE05,Hejnol2009Tribe1733_0,Borowiec2015_Total1080OG598.fasta.aln_gene663,Ryan2013_estgene363,
367	Hejnol2009Tribe2721_0,Simion2017V2META12785-2-42-Calc_Hmm10-BMGE05,Borowiec2015_Total1080OG600.fasta.aln_gene667,Ryan2013_estgene88,
368	Hejnol2009Tribe2171_0,Borowiec2015_Total1080OG610.fasta.aln_gene678,Ryan2013_estgene201,Simion2017V2META13417-42-Calc_Hmm10-BMGE05,
369	Ryan2013_estgene38,Simion2017V2META13734-42-Calc_Hmm10-BMGE05,Borowiec2015_Total1080OG629.fasta.aln_gene693,Moroz2014_3d106,
370	Ryan2013_estgene190,Borowiec2015_Total1080OG64.fasta.aln_gene715,Simion2017V2META11830-42-Calc_Hmm10-BMGE05,Ryan2013_estgene394,
371	Simion2017V2META15191-42-Calc_Hmm10-BMGE05,Borowiec2015_Total1080OG652.fasta.aln_gene718,Hejnol2009Tribe833_0,Dunn2008Tribe593,
372	Borowiec2015_Total1080OG664.fasta.aln_gene731,Ryan2013_estgene30,Hejnol2009Tribe3095_0,Simion2017V2META13593-42-Calc_Hmm10-BMGE05,
373	Ryan2013_estgene306,Borowiec2015_Total1080OG665.fasta.aln_gene732,Simion2017V2META13939-42-Calc_Hmm10-BMGE05,Hejnol2009Tribe2173_0,
374	Whelan2015_D10Gene_0519,Whelan2015_D20Gene_0519,Whelan2015_D1Gene_0519,Borowiec2015_Total1080OG67.fasta.aln_gene748,
375	Borowiec2015_Total1080OG679.fasta.aln_gene747,Hejnol2009Tribe3603_0,Ryan2013_estgene246,Whelan2017_fullSubset26_07,
376	Simion2017V2META15333-42-Calc_Hmm10-BMGE05,Ryan2013_estgene280,Hejnol2009Tribe3943_0,Borowiec2015_Total1080OG697.fasta.aln_gene767,
377	Borowiec2015_Total1080OG727.fasta.aln_gene799,Ryan2013_estgene252,Hejnol2009Tribe1430_0,Dunn2008Tribe1132,
378	Dunn2008Tribe764,Hejnol2009Tribe949_0,Borowiec2015_Total1080OG739.fasta.aln_gene811,Ryan2013_estgene325,
379	Simion2017V2META14999-42-Calc_Hmm10-BMGE05,Ryan2013_estgene348,Borowiec2015_Total1080OG747.fasta.aln_gene820,Hejnol2009Tribe2120_0,
380	Hejnol2009Tribe930_0,Borowiec2015_Total1080OG752.fasta.aln_gene826,Dunn2008Tribe646,Ryan2013_estgene157,
381	Simion2017V2META14331-42-Calc_Hmm10-BMGE05,Hejnol2009Tribe1629_0,Borowiec2015_Total1080OG753.fasta.aln_gene827,Ryan2013_estgene240,
382	Hejnol2009Tribe2553_0,Whelan2015_D1Gene_0655,Borowiec2015_Total1080OG766.fasta.aln_gene841,Simion2017V2META14129-42-Calc_Hmm10-BMGE05,
383	Borowiec2015_Total1080OG841.fasta.aln_gene922,Ryan2013_estgene41,Hejnol2009Tribe4485_0,Simion2017V2META16170-42-Calc_Hmm10-BMGE05,
384	Borowiec2015_Total1080OG851.fasta.aln_gene932,Hejnol2009Tribe750_0,Ryan2013_estgene117,Simion2017V2META14092-42-Calc_Hmm10-BMGE05,
385	Hejnol2009Tribe1787_0,Borowiec2015_Total1080OG863.fasta.aln_gene944,Ryan2013_estgene343,Simion2017V2META14509-42-Calc_Hmm10-BMGE05,
386	Ryan2013_estgene80,Borowiec2015_Total1080OG878.fasta.aln_gene960,Hejnol2009Tribe1561_0,Simion2017V2META14863-42-Calc_Hmm10-BMGE05,
387	Simion2017V2META13273-42-Calc_Hmm10-BMGE05,Borowiec2015_Total1080OG90.fasta.aln_gene996,Ryan2013_estgene292,Hejnol2009Tribe2590_0,
388	Ryan2013_estgene154,Hejnol2009Tribe1678_0,Borowiec2015_Total1080OG903.fasta.aln_gene989,Dunn2008Tribe1187,
